pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"AB1 1EP","AB1  1EP","AB1 1EP","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393809","0806804","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000032","01C28","S99999999","S01000128","S02000024","1","2A1","S00088990","S01006648","S02001261","S34003052","S03000012","S99999999","S99999999","1","2B1",57.152071,-2.103963,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1EQ","AB1  1EQ","AB1 1EQ","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393731","0806917","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001299","01C21","S99999999","S01000135","S02000024","1","2A1","S00090332","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.153085,-2.105256,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1ER","AB1  1ER","AB1 1ER","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393703","0806975","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001299","01C21","S99999999","S01000135","S02000024","1","2A1","S00090332","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.153605,-2.105720,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1ES","AB1  1ES","AB1 1ES","197705","198011","S99999999","S99999999","S12000033","S13002842","S99999999","0","393690","0806990","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001299","01C21","S99999999","S01000135","S02000024","1","2A1","S00090332","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.153740,-2.105935,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1ET","AB1  1ET","AB1 1ET","197308","198011","S99999999","S99999999","S12000033","S13002842","S99999999","0","393960","0807010","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001483","01C21","S99999999","S01000135","S02000024","1","5A1","S00090322","S01006652","S02001261","S34003132","S03000012","S99999999","S99999999","1","2B1",57.153923,-2.101473,"S99999999","","S23000009",5477,"S99999999","S99999999","","",""
"AB1 1EU","AB1  1EU","AB1 1EU","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393750","0806948","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001299","01C21","S99999999","S01000135","S02000024","1","2A1","S00090332","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.153363,-2.104942,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1EW","AB1  1EW","AB1 1EW","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393858","0806991","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001482","01C21","S99999999","S01000135","S02000024","1","5C2","S00090528","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","7B1",57.153751,-2.103158,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1EX","AB1  1EX","AB1 1EX","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393839","0806883","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001485","01C21","S99999999","S01000135","S02000024","1","5C2","S00088992","S01006646","S02001261","S34003076","S03000012","S99999999","S99999999","1","2B2",57.152781,-2.103470,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1EY","AB1  1EY","AB1 1EY","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393810","0806876","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001484","01C21","S99999999","S01000135","S02000024","1","5A1","S00090530","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.152717,-2.103949,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1EZ","AB1  1EZ","AB1 1EZ","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393858","0806991","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001482","01C21","S99999999","S01000135","S02000024","1","5C2","S00090528","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","7B1",57.153751,-2.103158,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1FA","AB1  1FA","AB1 1FA","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393865","0806949","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001486","01C21","S99999999","S01000135","S02000024","1","5C2","S00090532","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","7B1",57.153374,-2.103042,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1FB","AB1  1FB","AB1 1FB","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393865","0806949","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001486","01C21","S99999999","S01000135","S02000024","1","5C2","S00090532","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","7B1",57.153374,-2.103042,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1FD","AB1  1FD","AB1 1FD","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393865","0806949","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001486","01C21","S99999999","S01000135","S02000024","1","5C2","S00090532","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","7B1",57.153374,-2.103042,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1FE","AB1  1FE","AB1 1FE","198003","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393816","0806909","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001484","01C21","S99999999","S01000135","S02000024","1","5A1","S00090530","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.153014,-2.103850,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1FF","AB1  1FF","AB1 1FF","199006","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394230","0806530","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000036","01C28","S99999999","S01000125","S02000024","1","2A1","S00090540","S01006646","S02001261","S34000028","S03000012","S99999999","S99999999","1","2B1",57.149615,-2.096999,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1FG","AB1  1FG","AB1 1FG","199210","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394210","0806570","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000036","01C28","S99999999","S01000125","S02000024","1","2A1","S00090540","S01006646","S02001261","S34000028","S03000012","S99999999","S99999999","1","2B1",57.149974,-2.097330,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1FH","AB1  1FH","AB1 1FH","199210","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394250","0806610","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000036","01C28","S99999999","S01000125","S02000024","1","2A1","S00088994","S01006647","S02001261","S34003034","S03000012","S99999999","S99999999","1","2B1",57.150334,-2.096670,"S99999999","","S23000009",2962,"S99999999","S99999999","","",""
"AB1 1HA","AB1  1HA","AB1 1HA","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393937","0806940","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001485","01C21","S99999999","S01000135","S02000024","1","5C2","S00090531","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","3C1",57.153294,-2.101851,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1HB","AB1  1HB","AB1 1HB","197308","198003","S99999999","S99999999","S12000033","S13002842","S99999999","0","393930","0806940","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001485","01C21","S99999999","S01000135","S02000024","1","5C2","S00090531","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","3C1",57.153294,-2.101967,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1HD","AB1  1HD","AB1 1HD","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393773","0806926","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001299","01C21","S99999999","S01000135","S02000024","1","2A1","S00090332","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.153166,-2.104562,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1HE","AB1  1HE","AB1 1HE","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394138","0806275","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000003","S03000012","S99999999","S99999999","1","2B1",57.147323,-2.098513,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1HF","AB1  1HF","AB1 1HF","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394119","0806227","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000003","S03000012","S99999999","S99999999","1","2B1",57.146891,-2.098826,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1HG","AB1  1HG","AB1 1HG","199402","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393798","0806575","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000035","01C28","S99999999","S01000128","S02000024","1","2A1","S00090523","S01006648","S02001261","S34003052","S03000012","S99999999","S99999999","1","2B1",57.150013,-2.104139,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1HH","AB1  1HH","AB1 1HH","199512","199512","S99999999","S99999999","S12000033","S13002842","S99999999","0","394158","0806233","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000003","S03000012","S99999999","S99999999","1","2B1",57.146946,-2.098181,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1HJ","AB1  1HJ","AB1 1HJ","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393793","0806865","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001484","01C21","S99999999","S01000135","S02000024","1","5A1","S00090530","S01006645","S02001261","S34002979","S03000012","S99999999","S99999999","1","2C2",57.152618,-2.104229,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1HL","AB1  1HL","AB1 1HL","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393829","0806806","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000033","01C28","S99999999","S01000129","S02000024","1","2A1","S00088991","S01006646","S02001261","S34003076","S03000012","S99999999","S99999999","1","2B1",57.152089,-2.103633,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1HN","AB1  1HN","AB1 1HN","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393865","0806747","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001493","01C28","S99999999","S01000129","S02000024","1","2A1","S00090538","S01006646","S02001261","S34003080","S03000012","S99999999","S99999999","1","2B1",57.151559,-2.103036,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1HP","AB1  1HP","AB1 1HP","197308","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394118","0806244","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000003","S03000012","S99999999","S99999999","1","2B1",57.147044,-2.098843,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1HQ","AB1  1HQ","AB1 1HQ","197308","198504","S99999999","S99999999","S12000033","S13002842","S99999999","0","394110","0806330","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.147817,-2.098977,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1HR","AB1  1HR","AB1 1HR","197308","199512","S99999999","S99999999","S12000033","S13002842","S99999999","1","393937","0806940","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001485","01C21","S99999999","S01000135","S02000024","1","5C2","S00090531","S01006645","S02001261","S34003115","S03000012","S99999999","S99999999","1","3C1",57.153294,-2.101851,"S99999999","","S23000009",1007,"S99999999","S99999999","","",""
"AB1 1HS","AB1  1HS","AB1 1HS","197308","199512","S99999999","S99999999","S12000033","S13002842","S99999999","0","394020","0806480","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000036","01C28","S99999999","S01000125","S02000024","1","2A1","S00090540","S01006646","S02001261","S34000028","S03000012","S99999999","S99999999","1","2B1",57.149163,-2.100468,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1HT","AB1  1HT","AB1 1HT","197308","199201","S99999999","S99999999","S12000033","S13002842","S99999999","0","393970","0806500","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000035","01C28","S99999999","S01000128","S02000024","1","2A1","S00090523","S01006648","S02001261","S34003052","S03000012","S99999999","S99999999","1","2B1",57.149342,-2.101295,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1HU","AB1  1HU","AB1 1HU","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393941","0806550","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000035","01C28","S99999999","S01000128","S02000024","1","2A1","S00090523","S01006648","S02001261","S34003052","S03000012","S99999999","S99999999","1","2B1",57.149791,-2.101775,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1HW","AB1  1HW","AB1 1HW","198605","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394169","0806326","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000036","01C28","S99999999","S01000125","S02000024","1","2A1","S00090540","S01006646","S02001261","S34000028","S03000012","S99999999","S99999999","1","2B1",57.147781,-2.098002,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1HX","AB1  1HX","AB1 1HX","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393916","0806616","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000037","01C28","S99999999","S01000128","S02000024","1","2A1","S00088995","S01006648","S02001261","S34003080","S03000012","S99999999","S99999999","1","2B1",57.150383,-2.102190,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1HY","AB1  1HY","AB1 1HY","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393902","0806660","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000031","01C28","S99999999","S01000128","S02000024","1","2A1","S00088989","S01006648","S02001261","S34003080","S03000012","S99999999","S99999999","1","2B1",57.150778,-2.102423,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1HZ","AB1  1HZ","AB1 1HZ","199006","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394046","0806461","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000036","01C28","S99999999","S01000125","S02000024","1","2A1","S00090540","S01006646","S02001261","S34000028","S03000012","S99999999","S99999999","1","2B1",57.148993,-2.100038,"S99999999","","S23000009",3888,"S99999999","S99999999","","",""
"AB1 1JA","AB1  1JA","AB1 1JA","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393929","0806571","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000035","01C28","S99999999","S01000128","S02000024","1","2A1","S00090523","S01006648","S02001261","S34003052","S03000012","S99999999","S99999999","1","2B1",57.149979,-2.101974,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1JB","AB1  1JB","AB1 1JB","197308","199201","S99999999","S99999999","S12000033","S13002842","S99999999","0","393800","0806440","8","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00090522","S01006648","S02001261","S34003072","S03000012","S99999999","S99999999","1","2C2",57.148801,-2.104103,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1JD","AB1  1JD","AB1 1JD","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393988","0806146","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34003072","S03000012","S99999999","S99999999","1","2B1",57.146162,-2.100989,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JE","AB1  1JE","AB1 1JE","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394004","0806178","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.146450,-2.100725,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JF","AB1  1JF","AB1 1JF","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394023","0806214","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.146773,-2.100412,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JG","AB1  1JG","AB1 1JG","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394012","0806217","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.146800,-2.100594,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JH","AB1  1JH","AB1 1JH","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393972","0806235","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000006","S03000012","S99999999","S99999999","1","2B1",57.146961,-2.101255,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JJ","AB1  1JJ","AB1 1JJ","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394034","0806168","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000003","S03000012","S99999999","S99999999","1","2B1",57.146360,-2.100229,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JL","AB1  1JL","AB1 1JL","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394143","0806223","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000003","S03000012","S99999999","S99999999","1","2B1",57.146856,-2.098429,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JN","AB1  1JN","AB1 1JN","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394035","0806237","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.146980,-2.100214,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JP","AB1  1JP","AB1 1JP","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394028","0806283","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000006","S03000012","S99999999","S99999999","1","2B1",57.147393,-2.100331,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JQ","AB1  1JQ","AB1 1JQ","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393997","0806348","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34003072","S03000012","S99999999","S99999999","1","2B1",57.147977,-2.100845,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JR","AB1  1JR","AB1 1JR","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393971","0806184","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34003072","S03000012","S99999999","S99999999","1","2B1",57.146503,-2.101271,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JS","AB1  1JS","AB1 1JS","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393932","0806244","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34003072","S03000012","S99999999","S99999999","1","2B1",57.147042,-2.101917,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JT","AB1  1JT","AB1 1JT","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393995","0806322","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000006","S03000012","S99999999","S99999999","1","2B1",57.147743,-2.100877,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JU","AB1  1JU","AB1 1JU","197308","199107","S99999999","S99999999","S12000033","S13002842","S99999999","0","393980","0806420","8","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34003072","S03000012","S99999999","S99999999","1","2B1",57.148623,-2.101128,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JW","AB1  1JW","AB1 1JW","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","393898","0806551","3","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000035","01C28","S99999999","S01000128","S02000024","1","2A1","S00090523","S01006648","S02001261","S34003052","S03000012","S99999999","S99999999","1","2B1",57.149799,-2.102486,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1JX","AB1  1JX","AB1 1JX","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394053","0806373","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.148202,-2.099920,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
"AB1 1JY","AB1  1JY","AB1 1JY","198001","199606","S99999999","S99999999","S12000033","S13002841","S99999999","0","393725","0806362","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001476","01C27","S99999999","S01000128","S02000024","1","2A1","S00090522","S01006648","S02001261","S34003072","S03000012","S99999999","S99999999","1","2C2",57.148099,-2.105341,"S99999999","","S23000009",3506,"S99999999","S99999999","","",""
"AB1 1JZ","AB1  1JZ","AB1 1JZ","198001","199606","S99999999","S99999999","S12000033","S13002842","S99999999","0","394074","0806303","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00000028","01C28","S99999999","S01000109","S02000018","1","2A1","S00088986","S01006586","S02001249","S34000004","S03000012","S99999999","S99999999","1","2B1",57.147574,-2.099571,"S99999999","","S23000009",3228,"S99999999","S99999999","","",""
